feature,importance_mean,importance_std
4.10_eucl_dist_Anus_Bladder_max,0.08519836399849112,0.1829386262966313
4.13_eucl_dist_Anus_Rectum_mean,0.076015063919153,0.1267854967165973
4.14_eucl_dist_Anus_Urethra_max,0.06468288939364582,0.07450628891950428
4.37_eucl_dist_Uterus_Vagina_min,0.05769974265522609,0.06106512952780735
4.18_eucl_dist_Bladder_Pubis_min,0.05304817099039346,0.0758828350937335
4.16_eucl_dist_Anus_Vagina_max,0.049567752073131965,0.07332285580342401
4.36_eucl_dist_Urethra_Vagina_max,0.04812058906124249,0.05962533240648607
4.15_eucl_dist_Anus_Uterus_min,0.03945696758590639,0.04067926207242163
4.26_eucl_dist_Levator ani muscle_Uterus_mean,0.024648446850999043,0.03422888549197151
4.20_eucl_dist_Bladder_Urethra_std,0.024135887932426128,0.045132197188881555
2.1_region_conf_mean_min,0.0020910351016740405,0.0033003176990441256
2.1_region_conf_mean_mean,0.0015367507333473173,0.002217390846248263
2.2_region_conf_std_mean,0.0010433783866912003,0.004029085766727976
1.4_frame_conf_min_std,0.0008608561722078659,0.00326448265003083
1.4_frame_conf_min_mean,0.0005980844651026009,0.002027559260763223
2.1_region_conf_mean_max,0.0005174171155979901,0.002005343269975411
1.4_frame_conf_min_min,0.0002782541783335625,0.0018074648911676034
3.7_region_coords_len_Y_min,0.00023079359326137262,0.0007698598503735029
3.1_region_coords_centroid_Y_std,0.00021171956816226452,0.0008442673881770573
3.7_region_coords_len_Y_std,0.0001751194648646032,0.0003920768552202079
2.1_region_conf_mean_std,0.00016187460153271803,0.0004133262058335325
2.2_region_conf_std_max,0.00014149840719559202,0.00038127115074882665
1.4_frame_conf_min_max,0.00011548469991196285,0.0008282220078856513
1.3_frame_conf_max_mean,8.725138389838249e-05,0.00031205136859023465
2.3_region_conf_max_min,7.377993089284828e-05,0.00026219620385077054
2.4_region_conf_min_std,6.0042818088960967e-05,0.00022862468148638647
2.3_region_conf_max_max,5.784703466700078e-05,0.0002015817496806254
2.4_region_conf_min_mean,5.283387287161495e-05,0.00020295115911460722
1.2_frame_conf_std_std,5.14985091489773e-05,0.00021921172963949902
2.4_region_conf_min_min,4.961793961309654e-05,0.00025059972762484927
2.2_region_conf_std_min,4.922419066556782e-05,0.00017987018318312332
1.1_frame_conf_mean_mean,4.5549402346502436e-05,0.00026846808314549836
1.3_frame_conf_max_min,3.436178683445283e-05,0.00013714096636722615
organ,3.286122661057175e-05,9.73384463948295e-05
3.2_region_coords_centroid_X_mean,3.271803145599029e-05,0.0001190681296570137
2.3_region_conf_max_std,3.14171822441634e-05,0.00012741069184216348
3.6_region_coords_min_X_std,2.3956007896553893e-05,6.861212145705187e-05
3.5_region_coords_min_Y_mean,1.9188640396711463e-05,0.00010685109362920233
3.5_region_coords_min_Y_min,1.907717486025605e-05,0.0001595637465259485
1.3_frame_conf_max_max,1.815067241570286e-05,0.0004054765159844523
2.3_region_conf_max_mean,1.6526731898155614e-05,0.00021810058582229092
2.4_region_conf_min_max,1.4202168866748823e-05,4.7026359822514585e-05
1.3_frame_conf_max_std,1.095438423825556e-05,0.00022496990974905153
3.1_region_coords_centroid_Y_mean,7.275656560098855e-06,4.368691097701787e-05
3.4_region_coords_max_X_min,6.104049572207348e-06,8.076638549626663e-05
3.7_region_coords_len_Y_mean,3.6916741091162575e-06,1.581818539480738e-05
3.2_region_coords_centroid_X_max,3.192536705821594e-06,1.0323751726872591e-05
2.2_region_conf_std_std,2.8715844430130902e-06,9.681034505262306e-06
3.8_region_coords_len_X_max,2.451692010280435e-06,1.0595477690731691e-05
1.2_frame_conf_std_max,2.4147591743480434e-06,1.1065816701538974e-05
3.3_region_coords_max_Y_max,2.2229936853251654e-06,1.0581398783967685e-05
3.3_region_coords_max_Y_min,1.955852134201342e-06,8.305890283965584e-06
3.9_region_coords_bbox_area_min,1.8534254719632898e-06,1.5461932914139528e-05
3.6_region_coords_min_X_mean,1.7817736360308044e-06,1.554529895958965e-05
3.3_region_coords_max_Y_mean,1.2477635989557471e-06,8.119975333879063e-06
3.8_region_coords_len_X_std,8.113174111992088e-07,0.000192254934410443
3.8_region_coords_len_X_min,2.023624698532789e-07,9.176823241341293e-07
3.2_region_coords_centroid_X_min,-3.796502620929378e-08,1.4779205025239503e-05
3.4_region_coords_max_X_max,-5.870643604477004e-07,2.121415710450404e-06
3.4_region_coords_max_X_mean,-7.45425198448023e-07,4.4138937659569275e-05
3.8_region_coords_len_X_mean,-1.0885052287558043e-06,1.6563601924356574e-05
1.1_frame_conf_mean_min,-2.633445699074771e-06,4.4919032943542765e-05
3.1_region_coords_centroid_Y_max,-3.2456655040067974e-06,2.6927201506739095e-05
3.9_region_coords_bbox_area_std,-3.8547910196206656e-06,5.281169345679349e-05
3.2_region_coords_centroid_X_std,-4.72947062349508e-06,8.123008839660895e-05
1.1_frame_conf_mean_std,-6.609102892599481e-06,3.016232017315992e-05
3.6_region_coords_min_X_min,-7.114429287741461e-06,3.461917009461749e-05
3.6_region_coords_min_X_max,-7.2835004062735525e-06,3.311007605292326e-05
1.1_frame_conf_mean_max,-7.3020148395412725e-06,3.044738039728016e-05
3.5_region_coords_min_Y_max,-7.79026650598036e-06,3.5200800722473415e-05
1.2_frame_conf_std_min,-8.64372313570817e-06,2.940323435640753e-05
3.5_region_coords_min_Y_std,-1.5371515471148044e-05,0.0001755059976621292
3.1_region_coords_centroid_Y_min,-1.7221585442354714e-05,0.0001351188690050674
3.9_region_coords_bbox_area_max,-1.82275282199062e-05,6.534516548522657e-05
1.2_frame_conf_std_mean,-2.3411472629681587e-05,0.00010728484545590273
3.3_region_coords_max_Y_std,-2.6856577214633734e-05,8.088220807058706e-05
organ_num,-2.7106944957400178e-05,0.0001252826924801389
3.4_region_coords_max_X_std,-2.8068230982878467e-05,0.00012733422778530906
3.9_region_coords_bbox_area_mean,-3.997724918345882e-05,0.00021447143434744358
3.7_region_coords_len_Y_max,-9.44678530459621e-05,0.0003174589645843589
