feature,importance_mean,importance_std,cv,score
4.18_eucl_dist_Bladder_Pubis_min,0.099203801614559,0.0629287307782004,0.6343378894728484,0.06069968900161578
4.18_eucl_dist_Bladder_Pubis_mean,0.0417310334448591,0.0326676177750361,0.7828135153994599,0.02340740244809552
4.37_eucl_dist_Uterus_Vagina_min,0.0220506077242348,0.0178719107382855,0.8104951188328562,0.012179324591855195
4.11_eucl_dist_Anus_Levator ani muscle_std,0.0156472572719118,0.0119443084395657,0.7633483279947377,0.008873605415049054
4.18_eucl_dist_Bladder_Pubis_max,0.0170917889727749,0.0159904263809174,0.9355618344473087,0.008830401937355509
4.13_eucl_dist_Anus_Rectum_max,0.0128900652502016,0.006263040919771,0.4858812048132838,0.00867503082241448
4.15_eucl_dist_Anus_Uterus_min,0.0151347974610972,0.0139773085467147,0.9235212865663368,0.007868276564858927
4.37_eucl_dist_Uterus_Vagina_mean,0.0100981127671777,0.0073749188558181,0.7303263783568267,0.005835958402695791
4.16_eucl_dist_Anus_Vagina_min,0.0124677704410572,0.0158276213730666,1.2694827979397496,0.005493661574511831
4.19_eucl_dist_Bladder_Rectum_min,0.0094294125831338,0.0096370611171136,1.0220212563749687,0.004663359771023686
4.12_eucl_dist_Anus_Pubis_min,0.0053442158981231,0.0012196885229127,0.22822586473633902,0.00435116703821437
4.22_eucl_dist_Bladder_Vagina_mean,0.0073652663241091,0.0052834592170079,0.7173479229617759,0.004288744421344046
4.23_eucl_dist_Levator ani muscle_Pubis_mean,0.0062939650095225,0.0058268435320884,0.9257824912420302,0.003268263699636826
4.28_eucl_dist_Pubis_Rectum_min,0.0066256750613954,0.009498141875199,1.4335355044808278,0.0027226539531458064
4.31_eucl_dist_Pubis_Vagina_std,0.0049716313343471,0.0043072208029283,0.8663594797972818,0.002663812297771865
4.35_eucl_dist_Urethra_Uterus_mean,0.005003352884708,0.005836079207479,1.1664334248504986,0.002309488409528796
4.13_eucl_dist_Anus_Rectum_min,0.0038041455499324,0.0031108067392938,0.8177410355941938,0.002092787407799747
4.19_eucl_dist_Bladder_Rectum_max,0.005117862588317,0.0076572247717033,1.4961760194591984,0.0020502811293835743
4.19_eucl_dist_Bladder_Rectum_mean,0.0035797422468211,0.002703613119745,0.7552533612978738,0.002039444746696943
