feature,importance_mean,importance_std,cv,score
4.36_eucl_dist_Urethra_Vagina_max,0.0820881454404899,0.0312293852644719,0.38043720827722377,0.0594653237019997
4.14_eucl_dist_Anus_Urethra_max,0.0259932958259563,0.0094404330820452,0.36318721496759904,0.019068030818183784
4.33_eucl_dist_Rectum_Uterus_min,0.0208108990787584,0.0110958176026128,0.5331733639881466,0.01357374160520525
4.13_eucl_dist_Anus_Rectum_std,0.0121586170237575,0.0082733022273628,0.680447581394289,0.007235344415604644
4.15_eucl_dist_Anus_Uterus_min,0.0090016954072881,0.0044717074694129,0.49676275082910415,0.006014109719327112
4.26_eucl_dist_Levator ani muscle_Uterus_min,0.0121317840796427,0.0154291635828039,1.2717966467024087,0.005340171664243102
4.30_eucl_dist_Pubis_Uterus_mean,0.0042677094755143,0.0036964332505891,0.866139648365824,0.002286918601858938
4.27_eucl_dist_Levator ani muscle_Vagina_std,0.0034120272041623,0.0024111620733057,0.706665340680463,0.001999236243235533
4.36_eucl_dist_Urethra_Vagina_mean,0.005423633286319,0.009726696955799,1.7933910072687573,0.001941594739943681
4.32_eucl_dist_Rectum_Urethra_max,0.0050719174081547,0.0089068489538292,1.7561104570429693,0.0018402446081919226
4.30_eucl_dist_Pubis_Uterus_min,0.0030367223376721,0.0024492669700912,0.8065492630516569,0.0016809518565479979
4.24_eucl_dist_Levator ani muscle_Rectum_std,0.0029322235761263,0.0026658905473999,0.9091699759647167,0.0015358630258390834
4.20_eucl_dist_Bladder_Urethra_mean,0.0028125671731725,0.0027265890364319,0.9694303812577039,0.0014281120063641742
4.21_eucl_dist_Bladder_Uterus_std,0.0039207047254506,0.0069128208627779,1.7631572851551924,0.0014189220231921739
4.14_eucl_dist_Anus_Urethra_std,0.0037166133219107,0.006391106333271,1.719604397904099,0.001366600717653994
4.33_eucl_dist_Rectum_Uterus_std,0.0027486598449349,0.002885599258226,1.0498200472944648,0.001340927389486129
4.26_eucl_dist_Levator ani muscle_Uterus_mean,0.002049346183004,0.0011110901025862,0.5421678238811288,0.0013288736486840131
4.18_eucl_dist_Bladder_Pubis_min,0.0020516526020336,0.0011693831735705,0.569971057692881,0.0013068091873289461
4.35_eucl_dist_Urethra_Uterus_mean,0.0026825803859581,0.0033702561521941,1.2563481465410948,0.0011889035785857802
4.12_eucl_dist_Anus_Pubis_std,0.0031232206993889,0.0053972135023802,1.728091702051198,0.001144837139103723
4.10_eucl_dist_Anus_Bladder_min,0.0024494226897008,0.0033244139055862,1.3572228927010503,0.001039113737307252
4.20_eucl_dist_Bladder_Urethra_min,0.0016177557417249,0.0012619977698544,0.7800911826266419,0.0009088049856737085
4.29_eucl_dist_Pubis_Urethra_min,0.0011440058219663,0.0004182490535148,0.3656001393382607,0.0008377311842694009
4.15_eucl_dist_Anus_Uterus_std,0.0022274780805899,0.0037540623615708,1.6853412426107353,0.0008294953524879792
4.22_eucl_dist_Bladder_Vagina_max,0.0021788706737764,0.00360876076372,1.6562520900853834,0.0008202800788031988
4.16_eucl_dist_Anus_Vagina_max,0.0018332914888981,0.0024544271993795,1.3388082994082044,0.0007838570990884475
4.13_eucl_dist_Anus_Rectum_mean,0.0015227588383955,0.0016990799163611,1.1157898136789481,0.0007197117731405076
