feature,importance_mean,importance_std,cv,score
4.10_eucl_dist_Anus_Bladder_max,0.1582515111637696,0.1169120445075602,0.738773632611937,0.09101329131961164
4.12_eucl_dist_Anus_Pubis_mean,0.073180382457712,0.0436624451083614,0.5966413818204734,0.045833950748710085
4.15_eucl_dist_Anus_Uterus_mean,0.0931292339194832,0.1063711744989838,1.1421888582135264,0.04347386719075185
4.30_eucl_dist_Pubis_Uterus_max,0.0785093039829965,0.0648576782263622,0.8261145381481727,0.04299254090743468
4.34_eucl_dist_Rectum_Vagina_mean,0.052646299636859,0.0850290878968577,1.6151009067734325,0.02013165132576667
4.12_eucl_dist_Anus_Pubis_max,0.0304839260135591,0.0185956155030246,0.6100137785644666,0.018933953497428713
4.30_eucl_dist_Pubis_Uterus_mean,0.0240978817029868,0.0417387554643576,1.7320507356932366,0.008820437112736177
4.17_eucl_dist_Bladder_Levator ani muscle_max,0.0266964602681866,0.054839365551267,2.054181076673914,0.008740955299631339
4.18_eucl_dist_Bladder_Pubis_std,0.0196259080776396,0.0317584932345501,1.6181922125958244,0.00749597679773914
4.14_eucl_dist_Anus_Urethra_mean,0.0151172292573919,0.0261289279106898,1.728420316804627,0.005540652649550841
4.21_eucl_dist_Bladder_Uterus_max,0.01381326831844,0.0234637232157242,1.6986364831388139,0.005118610233258847
4.26_eucl_dist_Levator ani muscle_Uterus_mean,0.0091490232449081,0.0108142777690037,1.1820143306563429,0.00419292537008962
4.12_eucl_dist_Anus_Pubis_min,0.0083851385116481,0.014523485930677,1.7320506010069245,0.003069173941565238
4.19_eucl_dist_Bladder_Rectum_min,0.0053561107583103,0.0057827345806724,1.0796515908578963,0.0025754846541870993
4.18_eucl_dist_Bladder_Pubis_max,0.0086580570855756,0.022785953029413,2.631762550470133,0.0023839821478567787
4.11_eucl_dist_Anus_Levator ani muscle_min,0.0059730716185557,0.0102922064802604,1.723100845666443,0.0021934816068458415
4.19_eucl_dist_Bladder_Rectum_std,0.0051417559084476,0.0089482658097983,1.7403128870399984,0.0018763389876991624
4.19_eucl_dist_Bladder_Rectum_max,0.0059388196090534,0.0159964755895098,2.6935441634866133,0.0016078918637992684
4.25_eucl_dist_Levator ani muscle_Urethra_max,0.0041560667080136,0.0071985186979251,1.732050390816574,0.0015212262270065254
