feature,importance_mean,importance_std,cv,score
4.13_eucl_dist_Anus_Rectum_mean,0.0932261530389459,0.0223571821290831,0.2398166304247972,0.0751935009994211
4.16_eucl_dist_Anus_Vagina_max,0.0673493147986618,0.0691597112824221,1.0268806811515712,0.033228060943576276
4.14_eucl_dist_Anus_Urethra_max,0.0373746773067645,0.0119184267962238,0.31889041822379155,0.028337970153046257
4.29_eucl_dist_Pubis_Urethra_min,0.0179492481932091,0.014192501356116,0.7907016724401807,0.010023583754601481
4.32_eucl_dist_Rectum_Urethra_mean,0.0170314264667051,0.01636646160953,0.9609565399920208,0.008685264624362558
4.13_eucl_dist_Anus_Rectum_min,0.0137118376922195,0.0111238989523166,0.8112623844261403,0.007570321014845015
4.13_eucl_dist_Anus_Rectum_max,0.0162926373445343,0.0203693031530692,1.25021514148459,0.007240479829757591
4.32_eucl_dist_Rectum_Urethra_min,0.0187655631554391,0.0391336528404198,2.0853970877863066,0.006082057713000213
4.32_eucl_dist_Rectum_Urethra_max,0.0136998539494189,0.0173659072367655,1.2675978906989889,0.006041571129348648
4.24_eucl_dist_Levator ani muscle_Rectum_mean,0.0108269831973268,0.0121058703889819,1.1181202603002651,0.0051115998464562945
4.30_eucl_dist_Pubis_Uterus_max,0.0119535616414864,0.0162665468774018,1.3608116145178866,0.005063327191368253
4.12_eucl_dist_Anus_Pubis_max,0.0093252721961538,0.0143625126914801,1.5401707155779527,0.003671120267218759
4.16_eucl_dist_Anus_Vagina_mean,0.0079531833037887,0.0102241291876755,1.2855390743057444,0.003479784438253176
4.19_eucl_dist_Bladder_Rectum_min,0.0085818345722129,0.0131524461931351,1.5325912600471356,0.0033885588675897026
4.27_eucl_dist_Levator ani muscle_Vagina_max,0.0085533361577117,0.0147949362243231,1.72972676646845,0.0031334037760773663
4.33_eucl_dist_Rectum_Uterus_std,0.0072992824720573,0.0098992613351943,1.3561963133902233,0.0030979093000763997
4.27_eucl_dist_Levator ani muscle_Vagina_min,0.0053829453353454,0.0042166966881245,0.7833436236279946,0.0030184566025444138
